team,total_runs,total_wickets,matches_played,avg_runs_per_match,avg_wickets_lost
Argentina,3582,278,40,89.55,6.95
Australia,50394,1912,357,141.1596638655462,5.355742296918767
Austria,9244,459,74,124.91891891891892,6.202702702702703
Bahamas,2416,215,28,86.28571428571429,7.678571428571429
Bahrain,15046,743,129,116.63565891472868,5.75968992248062
Bangladesh,35181,1938,295,119.25762711864407,6.569491525423729
Barbados,248,22,3,82.66666666666667,7.333333333333333
Belgium,5066,292,40,126.65,7.3
Belize,1085,95,12,90.41666666666667,7.916666666666667
Bermuda,5542,263,46,120.47826086956522,5.717391304347826
Bhutan,5847,489,67,87.26865671641791,7.298507462686567
Botswana,8683,628,98,88.60204081632654,6.408163265306122
Brazil,2627,270,37,71.0,7.297297297297297
Bulgaria,6921,437,61,113.45901639344262,7.163934426229508
Cambodia,4585,282,45,101.88888888888889,6.266666666666667
Cameroon,2232,345,40,55.8,8.625
Canada,11701,574,95,123.16842105263157,6.042105263157895
Cayman Islands,3748,247,35,107.08571428571429,7.057142857142857
Chile,99,36,4,24.75,9.0
China,1941,278,39,49.76923076923077,7.128205128205129
Cook Islands,2804,196,29,96.6896551724138,6.758620689655173
Costa Rica,679,89,11,61.72727272727273,8.090909090909092
Croatia,2629,275,34,77.32352941176471,8.088235294117647
Cyprus,4686,245,41,114.29268292682927,5.975609756097561
Czech Republic,5446,360,50,108.92,7.2
Denmark,5874,342,51,115.17647058823529,6.705882352941177
England,52756,2191,375,140.68266666666668,5.842666666666666
Estonia,4485,319,45,99.66666666666667,7.088888888888889
Eswatini,2268,281,35,64.8,8.028571428571428
Fiji,2385,211,27,88.33333333333333,7.814814814814815
Finland,3771,299,38,99.23684210526316,7.868421052631579
France,5393,418,53,101.75471698113208,7.886792452830188
Gambia,644,81,9,71.55555555555556,9.0
Germany,11251,570,106,106.14150943396227,5.377358490566038
Ghana,3695,287,39,94.74358974358974,7.358974358974359
Gibraltar,7268,358,58,125.3103448275862,6.172413793103448
Greece,2283,205,30,76.1,6.833333333333333
Guernsey,4103,221,37,110.89189189189189,5.972972972972973
Hong Kong,20231,1165,185,109.35675675675675,6.297297297297297
Hungary,5303,266,37,143.32432432432432,7.1891891891891895
ICC World XI,597,27,4,149.25,6.75
India,57650,2150,406,141.99507389162562,5.295566502463054
Indonesia,12037,681,127,94.77952755905511,5.362204724409449
Iran,89,8,1,89.0,8.0
Ireland,31128,1578,254,122.55118110236221,6.21259842519685
Isle of Man,3142,202,34,92.41176470588235,5.9411764705882355
Israel,948,62,8,118.5,7.75
Italy,6489,347,57,113.84210526315789,6.087719298245614
Ivory Coast,88,50,5,17.6,10.0
Japan,9490,588,87,109.08045977011494,6.758620689655173
Jersey,7687,410,64,120.109375,6.40625
Kenya,15144,847,141,107.40425531914893,6.00709219858156
Kuwait,12016,769,115,104.48695652173913,6.6869565217391305
Lesotho,1461,267,29,50.37931034482759,9.206896551724139
Luxembourg,5326,329,46,115.78260869565217,7.1521739130434785
Malawi,5364,382,61,87.93442622950819,6.262295081967213
Malaysia,18737,1051,179,104.67597765363128,5.871508379888268
Maldives,3743,324,43,87.04651162790698,7.534883720930233
Mali,314,102,11,28.545454545454547,9.272727272727273
Malta,9019,505,72,125.26388888888889,7.013888888888889
Mexico,1703,157,21,81.0952380952381,7.476190476190476
Mongolia,818,248,28,29.214285714285715,8.857142857142858
Mozambique,4384,375,53,82.71698113207547,7.0754716981132075
Myanmar,4388,414,61,71.93442622950819,6.786885245901639
Namibia,19519,1047,179,109.04469273743017,5.849162011173185
Nepal,19696,1083,175,112.54857142857144,6.188571428571429
Netherlands,23355,1191,194,120.38659793814433,6.139175257731959
New Zealand,49051,2203,358,137.01396648044692,6.153631284916201
Nigeria,12950,885,130,99.61538461538461,6.8076923076923075
Norway,6307,448,61,103.39344262295081,7.344262295081967
Oman,14366,793,124,115.85483870967742,6.395161290322581
Pakistan,52959,2573,408,129.8014705882353,6.306372549019608
Panama,2018,192,23,87.73913043478261,8.347826086956522
Papua New Guinea,11644,625,105,110.8952380952381,5.9523809523809526
Philippines,5366,384,55,97.56363636363636,6.9818181818181815
Portugal,4154,201,33,125.87878787878788,6.090909090909091
Qatar,9930,608,89,111.57303370786516,6.831460674157303
Romania,7846,373,60,130.76666666666668,6.216666666666667
Rwanda,14848,1090,161,92.22360248447205,6.770186335403727
Samoa,3993,295,42,95.07142857142857,7.023809523809524
Saudi Arabia,6928,398,59,117.42372881355932,6.745762711864407
Scotland,19158,960,157,122.02547770700637,6.114649681528663
Serbia,4339,267,42,103.30952380952381,6.357142857142857
Seychelles,1117,97,14,79.78571428571429,6.928571428571429
Sierra Leone,6360,525,78,81.53846153846153,6.730769230769231
Singapore,11529,844,117,98.53846153846153,7.213675213675214
Slovenia,1548,136,15,103.2,9.066666666666666
South Africa,47068,1979,347,135.64265129682997,5.703170028818444
South Korea,1858,177,21,88.47619047619048,8.428571428571429
Spain,5765,255,53,108.77358490566037,4.811320754716981
Sri Lanka,41503,2213,333,124.63363363363364,6.645645645645645
St Helena,596,50,8,74.5,6.25
Suriname,665,64,8,83.125,8.0
Swaziland,399,46,5,79.8,9.2
Sweden,4902,307,46,106.56521739130434,6.673913043478261
Switzerland,4691,205,40,117.275,5.125
Tanzania,12615,787,118,106.90677966101696,6.669491525423729
Thailand,14394,949,158,91.10126582278481,6.006329113924051
Timor-Leste,321,69,8,40.125,8.625
Turkey,2705,222,27,100.18518518518519,8.222222222222221
Turks and Caicos Island,350,27,4,87.5,6.75
Uganda,20433,1156,194,105.32474226804123,5.958762886597938
United Arab Emirates,25970,1260,220,118.04545454545455,5.7272727272727275
United States of America,10302,526,89,115.75280898876404,5.910112359550562
Vanuatu,5826,362,57,102.21052631578948,6.350877192982456
West Indies,45713,2218,353,129.4985835694051,6.28328611898017
Zambia,1191,78,10,119.1,7.8
Zimbabwe,29639,1477,233,127.20600858369099,6.339055793991417
